state,sites,time_seconds,sites_per_second,rows_written,rows_per_second
AL,2664,34,78.03,3179177,93505.21
AK,2693,88,30.30,6842205,77752.33
AZ,2072,26,77.73,2339673,89987.04
AR,8344,121,68.75,6433051,53165.71
CA,6710,193,34.72,19431802,100732.66
CO,6099,173,35.16,22380905,129316.88
CT,1190,30,38.96,1439328,47977.60
DC,87,65,1.33,315582,4855.11
DE,246,33,7.33,3398248,102975.70
FL,4464,129,34.47,17775366,137815.62
GA,4480,138,32.39,23385582,169457.84
HI,2392,24,96.90,314210,13092.08
ID,3624,46,78.72,3350848,72844.52
IL,2311,98,23.49,8592495,87678.52
IN,2981,103,28.75,2422046,23514.04
IA,1581,44,35.55,1792851,40747.98
KS,1748,38,45.44,5937005,156231.71
KY,1714,94,18.06,11122722,118336.40
LA,3025,27,111.61,1682548,62316.59
ME,711,17,40.15,688310,40489.99
MD,1354,80,16.91,5215059,65188.24
MA,2386,48,48.89,4520695,94264.48
MI,4976,102,48.63,9485667,92997.72
MN,2559,25,98.67,2018586,80743.44
MS,3255,37,86.33,1959136,52948.24
MO,1958,33,58.78,4633952,140412.18
MT,3644,39,93.09,6094287,156266.33
NE,1724,18,91.66,2098270,116570.56
NV,1623,25,63.61,2745176,109807.04
NH,1079,15,69.57,1036400,69093.33
NJ,2916,93,31.28,6040593,64951.44
NM,2038,79,25.54,3142359,39776.69
NY,12778,201,63.37,13022066,64886.90
NC,2181,77,28.27,7616937,98983.60
ND,1254,53,23.31,3419077,64511.83
OH,2862,119,23.93,9204328,77340.56
OK,2456,49,49.25,2365403,48273.53
OR,5186,247,20.97,31651872,128137.05
PA,5660,230,24.50,20349815,88433.11
RI,350,48,7.29,4319590,89991.46
SC,718,92,7.77,7678256,83459.31
SD,2368,56,41.64,63284,1130.07
TN,6142,152,40.18,4074769,26808.33
TX,3055,165,18.45,14336291,86874.49
UT,2871,75,38.18,5663734,75446.45
VT,555,46,12.03,706840,15364.13
VA,3404,180,18.86,1893881,10521.56
WA,4742,89,52.89,9484297,106555.02
WV,2400,92,25.94,5529484,60103.09
WI,2794,111,25.09,5335115,48019.51
WY,2566,31,80.32,3194724,103052.39
